StoreID,BusinessDate,PLU,Description,ItemType,CategoryLvl1Desc,CategoryLvl2Desc,CategoryLvl3Desc,ReceivedQuantity,SoldQuantity,EndQuantity,LatestOrder,StockedOut,GroupID,MissedSales,Days,Weekday,National Holiday
18,2019-06-29,3000227,Caprese Sandwich,Unassigned,Food,Cold Case,Ready to Eat,4.0,1.0,4.0,9,0,3.0,0.0,2.0,0,0
18,2019-06-29,3000278,Breakfast Burrito Egg Beans & Rice,Unassigned,Food,Cold Case,Ready to Eat,1.0,2.0,1.0,21,0,3.0,0.0,2.0,0,0
18,2019-06-29,820602,Everything Bagel,Core,Food,Bake Case,Bagels,6.0,4.0,0.0,16,0,3.0,0.0,2.0,0,0
18,2019-06-29,820801,Blueberry Scone,Core,Food,Bake Case,Muffins & Scones,8.0,6.0,0.0,16,0,3.0,0.0,2.0,0,0
18,2019-06-29,820902,Butter Croissant,Core,Food,Bake Case,Pastries,8.0,7.0,0.0,15,1,3.0,0.618387,2.0,0,0
18,2019-06-29,820224,Chocolate Croissant,Core,Food,Bake Case,Pastries,10.0,3.0,0.0,18,0,3.0,0.0,2.0,0,0
18,2019-06-29,810703,Cinnamon Roll,Core,Food,Bake Case,Pastries,6.0,2.0,0.0,12,0,3.0,0.0,2.0,0,0
18,2019-06-29,3000210,Cookie - Chocolate Chunk,Core,Food,Bake Case,Cookies & Bars,2.0,1.0,0.0,15,1,3.0,0.738732,2.0,0,0
18,2019-06-29,3000159,Egg| Spinach & Cheddar Sandwich on Ciabatta,Unassigned,Food,Cold Case,Ready to Eat,4.0,3.0,4.0,9,0,3.0,0.0,2.0,0,0
18,2019-06-29,3000207,Danish - Classic Cheese,Core,Food,Bake Case,Pastries,8.0,4.0,0.0,19,0,3.0,0.0,2.0,0,0
18,2019-06-29,3000209,Croissant - White Cheddar Jalapeno,Core,Food,Bake Case,Pastries,6.0,6.0,0.0,16,1,3.0,0.258101,2.0,0,0
18,2019-06-29,3000214,Coffee Cake with Streusel,Core,Food,Bake Case,Cakes & Breads,8.0,2.0,8.0,16,0,3.0,0.0,2.0,0,0
18,2019-06-29,841402,Almond Croissant,Core,Food,Bake Case,Pastries,10.0,6.0,0.0,16,0,3.0,0.0,2.0,0,0
18,2019-06-30,3000227,Caprese Sandwich,Unassigned,Food,Cold Case,Ready to Eat,2.0,0.0,2.0,0,0,3.0,0.0,3.0,0,0
